بی حال و سست	کسل
حرارت	تف
درخت	شجر
زمین سبز و خرم	سبزهزار
بد رفتار و بدخلق	نامردم
زنده سازی	احیا
صاحب غزلیات شمس	مولوی
ماده محترقه	زرنیخ
هوا رسانی	تهویه
انبار	مخزن
چین و شکن	ماز
خویشاوندی‌ها	انساب
آشیانه پرندگان	اموت
وسیله ای ساخته شده از قطعات مختلف	دستگاه
محل عبور	راه
دستگاه کنترل از راه دور	ریموت
Weevil	کو
کوهی در کردستان	شاهو
مهارت و استادی	تبحر
روز آینده	فردا
فحش	ناسزا
برخورداری	استمتاع
قدرتمندی و پر زوری	تنومندی
درخت بادام کوهی	ارژن
خفته و غنود	خوابیده
جداگانه	علیحده
دارای قرابت و خویشاوندی	نسبی
فعل ربطی	شد
توحید	یکتایی
سامانه های ترابری شهری	مترو
ستون خیمه	تیرک
از ظروف آشپزخانه	بشقاب
رودی در افغانستان	هیرمند
علامت و نشان	اثر
لقب اصفهان	نصفجهان
گشادگی	وسعت
باشگاه فوتبال اسپانیایی	ویاریال
تبدیل شده	مبدل
طایفه ایرانی	لر
ice	یخ
افشانه	اسپری
کشوری اروپایی	بلژیک
37	جلد
در به در	اواره
نیم صدای ساعت	تیک
مظهر سبکی	پر
نام	اسم
گله گوسفند	رمه
نویسنده فرانسوی طاعون	کامو
به تملک درآوردن	استملاک
ریاکاری و نفاق	دورویی
غشای خارجی قلب	پریکارد
آهنین	رویین
مال و ثروت	دارایی
بازیگر سریال گاندو	لیلااوتادی
روکش بدن	پوست
آن سوی چیزی	ماورا
محافظ سر انگشتان	ناخن
عنوان فیلمی سینمایی به کارگردانی حمید رخشانی	مونس
دریوزه گری	گد
سنگ سبز قیمتی	یشم
واحد تنیس	ست
از شهرهای استان فارس	وراوی
سنگ انداختن	رمی
همگی و کلاً	یکجا
شهری در آذربایجان غربی	سلماس
حرکت باد یا نسیم	وزیدن
کاغذ فروش	وراق
تضمین خسارت	بیمه
طبل زن	دهلزن
دریاچه‌ای در روسیه	ویستیتیس
پرنده خرامنده	کبک
ریاکار	مرایی
به‌جوش آمدن	جوشیدن
شکل و مانند	گنی
چیز	شیی
فرزند نوکر	خانهزاد
بی خرد	جهول
رب النوع مصریان	انو
ج د س ن	سنجد
درخت انار	ناربن
نابود شدن	فنا
بازیگر خانم آمریکایی	ا لی زا بت او لس ن
دچار اختلال	مختل
روغن صنعتی	گریس
از اعداد دو رقمی بین ده تا بیست	هجده
بازیگر خانم سریال مرگ تدریجی یک رویا	سامیهلک
خبر دادن	انبا
الکترود متصل به قطب منفی	کاتد
آسمان غرنبه	تندر
تظاهر به نیکی	ریا
دارای درد و رنج	دردناک
اسیر	بندی
شاد کننده	مفرح
رسم ها	رسوم
حفاری زمین	گودبرداری
یکی از مزه ها	تلخ
ممانعت از ورود به جایی	قرق
بی‌تجربگی	خامی
درون	اندر
شاخه‌ای از علم فلسفه	متافیزیک
قطیفه	ازار
دزد و راهزن	سالوک
مایه روشنایی	اب
کلاسمان	طبقهبندی
عنصر شماره 74اتمی	تنگستن
کشتن کسی به عنوان مجازات	اعدام
بشقاب استکان	نعلبکی
عنصر شیمیایی	ید
محل دفن مردگان	قبرستان
از عناصر چهارگانه	اتش
شکر و ستایش	سپاس
خم كاغذ	تا
پهن کردن	گستراندن
مقام مدال طلا	اول
رمان جان بنویل	دریا
پسر رستم در شاهنامه	سهراب
اخلال گر	مخل
عدد بلبل	هزار
غیر ممکن	محال
جام	کاپ
لشکريان	عساکر
مامور	گماشته
چماق کلفت	دگنک
خدمت رسانی	سرویس
نام جزیره ای در جنوب ایران	قشم
زیاد و فراوان	کثیر
رشک برنده	حاسد
قسمتی از زمان	دهه
